
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8N0906018BP 0002.ecu

ECU identified with following data:
HWNumber    = 0261208054       (requested was 0261208054)
SWNumber    = 1037366474       (requested was 1037366474)
PartNumber  = 8N0906018BP      (requested was 8N0906018BP)
SWVersion   = 0002             (requested was 0002)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 
ModelId     = 

Log packet size: 19 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  30.04.2023 17:46:40.129

TimeStamp, fr_w      , lambts_w  , lamsoni_w , lbz       , mshfm_w   , nmot      , plsol     , tans      , tats_w    , tmot      , ub        , vfzg      , wnwi_w    
  sec.ms , -         , -         , -         , , g/s       , rpm       , mbar      , °C        , °C        , °C        , V         , km/h      , °KW       
"TIME","LambdaControl","LambdaPartProtection","AirFuelRatioCurrent","BatteryChargeBalance","MassAirFlow","EngineSpeed","BoostPressureDesired","IntakeAirTemperature","EGTSensor","CoolantTemperature","BatteryVoltage","VehicleSpeed","CamshaftAngle"
    0.000, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    0.050, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.100, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.150, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.200, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    0.250, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.300, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.350, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.400, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.450, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.500, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.550, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.600, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.650, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.700, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.750, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.800, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    0.850, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    0.900, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    0.950, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    1.000, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.050, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.100, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.150, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    1.200, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.250, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.300, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.350, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.400, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.450, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.500, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.550, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.600, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.650, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.700, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    1.750, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.800, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.850, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.900, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    1.950, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.000, 1         , 1         , 1.00342   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    2.050, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.100, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.150, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.200, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    2.250, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.300, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.350, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.400, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.450, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.500, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.550, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    2.600, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.650, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.700, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    2.750, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.800, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.850, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.0384   , 0         , 0         
    2.900, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    2.950, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    3.000, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    3.050, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    3.100, 1         , 1         , 1         , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    3.150, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    3.200, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    3.250, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
    3.300, 1         , 1         , 1.00195   , 0         , 0         , 0         , 940       , 48        , 1110      , -9.75     , 12.1088   , 0         , 0         
